Date	time	ms	output	display	units	precision
7/3/2014	9:05:39 AM	2438	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2523	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2610	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2699	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:39 AM	2784	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2870	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	2958	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:39 AM	3043	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:40 AM	3129	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3218	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3303	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3391	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3480	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3568	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3652	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3741	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3817	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:40 AM	3892	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:40 AM	3980	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4069	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4157	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:41 AM	4242	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4331	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4418	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4502	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4589	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4677	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:41 AM	4762	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4851	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	4939	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:41 AM	5027	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:42 AM	5112	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5199	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5287	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5372	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5458	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:42 AM	5546	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5631	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5719	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5791	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:42 AM	5871	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	5959	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:42 AM	6047	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:43 AM	6131	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:43 AM	6219	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6307	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6392	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6479	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:43 AM	6567	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:43 AM	6652	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6740	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6828	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	6916	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:43 AM	7001	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7087	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:44 AM	7175	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7261	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7349	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:44 AM	7437	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:44 AM	7526	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7610	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:44 AM	7698	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7771	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	7850	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:44 AM	7938	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:44 AM	8026	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8115	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8199	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8288	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:45 AM	8377	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8464	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8548	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8637	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8725	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8810	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:45 AM	8897	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:45 AM	8985	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9070	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9159	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9247	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9334	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9420	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9506	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:46 AM	9594	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9679	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9767	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	9840	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:46 AM	9918	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:46 AM	0007	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0095	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0180	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0267	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:47 AM	0355	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0440	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:47 AM	0527	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:47 AM	0615	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0700	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:47 AM	0787	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:47 AM	0875	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	0958	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:47 AM	1047	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1135	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:48 AM	1224	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1309	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:48 AM	1395	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1484	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1569	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1657	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:48 AM	1729	-0.030000	-0.030000	%	3.000000
